date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-07-13,臺股期貨,自營商,11093,14324,-3231,18294,17676,618
2018-07-16,小型臺指,外資,1663,7370,-5707,30476,32092,-1616
2018-07-16,小型臺指,投信,140,0,140,15,35,-20
2018-07-16,小型臺指,自營商,24173,12482,11691,12236,10443,1793
2018-07-16,臺股期貨,外資,72512,37448,35064,87409,87081,328
2018-07-16,臺股期貨,投信,2782,25689,-22907,13431,13420,11
2018-07-16,臺股期貨,自營商,11730,15035,-3305,19845,19722,123
2018-07-17,小型臺指,外資,1389,9526,-8137,34874,37304,-2430
2018-07-17,小型臺指,投信,139,0,139,124,125,-1
2018-07-17,小型臺指,自營商,23124,13791,9333,9931,11369,-1438
2018-07-17,臺股期貨,外資,81227,48022,33205,100738,102597,-1859
2018-07-17,臺股期貨,投信,2783,26208,-23425,9263,9781,-518
2018-07-17,臺股期貨,自營商,9066,14649,-5583,21542,24050,-2508
2018-07-18,小型臺指,外資,436,1832,-1396,41134,39170,1964
2018-07-18,小型臺指,投信,139,0,139,0,0,0
2018-07-18,小型臺指,自營商,13483,10836,2647,19153,19957,-804
2018-07-18,臺股期貨,外資,69067,32028,37039,64149,56105,8044
2018-07-18,臺股期貨,投信,2811,26164,-23353,648,576,72
2018-07-18,臺股期貨,自營商,5355,12929,-7574,29809,33343,-3534
2018-07-19,小型臺指,外資,2475,1825,650,38585,36543,2042
2018-07-19,小型臺指,投信,140,0,140,4,3,1
2018-07-19,小型臺指,自營商,15485,11965,3520,10088,9263,825
2018-07-19,臺股期貨,外資,71002,32068,38934,56502,54606,1896
2018-07-19,臺股期貨,投信,2856,26196,-23340,81,68,13
2018-07-19,臺股期貨,自營商,5680,12870,-7190,16449,16053,396
2018-07-20,小型臺指,外資,7756,1710,6046,61071,55615,5456
2018-07-20,小型臺指,投信,146,0,146,6,0,6
2018-07-20,小型臺指,自營商,18910,12702,6208,15602,12870,2732
2018-07-20,臺股期貨,外資,78185,33733,44452,86844,81341,5503
2018-07-20,臺股期貨,投信,2630,25644,-23014,666,340,326
2018-07-20,臺股期貨,自營商,6010,13400,-7390,24571,24782,-211
